class,precision,recall,f1,support
curar,0.35714285714285715,0.5,0.41666666666666663,10
doenca,0.375,0.3,0.33333333333333326,10
dor,0.8571428571428571,0.75,0.7999999999999999,8
remedio,0.9,0.75,0.8181818181818182,12
saude,0.7777777777777778,0.875,0.823529411764706,8
